Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
1,1,Setting up: Markdown,Watch the 'What is markdown?' video,Beginner,4,TRUE
1,1,Setting up: CSV,Complete the 'Understanding CSV Files' challenge,Beginner,6,TRUE,
1,1,Setting up: Slack,Connect on Slack: https://intechgration.slack.com,Beginner,10,TRUE
1,1,Setting up: GitHub,Watched the 'WDX-180 - Setting up: SSH Keys Cloning repo & update progress' video,Beginner,0-10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: WDX,Fork WDX repository,Beginner,0-10,FALSE,git@github.com:in-tech-gration/WDX-180.git
1,1,Setting up: WDX,Enable GitHub Pages on forked WDX repository,Beginner,0-10,TRUE,https://github.com/ciraay/WDX-180
1,1,Setting up: Code editor,Install VSCode,Beginner,10,TRUE,Updated FALSE to TRUE in the COMPLETED column
1,1,Setting up: Code editor,Install VSCode WDX Extension Pack,Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: Node,Install Node.js (LTS),Beginner,5,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: Version Control,Install Git,Beginner,8,TRUE,Run git --version and paste the output of the command here git version 2.52.0.windows.1
1,1,Setting up: Productivity,Install Wikiwand Browser Extension: /,Beginner,7,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Computing Basics,Complete the 'Decode the secret message' challenge,Beginner,9,TRUE,Paste the secret message here "find a hobby for god's sake"
1,1,Setting up: GitHub,Watched the 'WDX-180: Keeping our forked repository up-to-date and in-sync with the original repo' video,Beginner,0-10,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE
